valencià,tailandés,Add Reverse
(m.) l'arc de Sant Martí,รุ้งกินน้ำ,y
(m.) l'armari,ตู้เสื้อผ้า,y
(m.) l'arqueòleg,นักโบราณคดี,y
(m.) l'arquitect,สถาปนิก,y
(m.) l'arròs,ข้าว,y
(m.) l'artell,ข้อนิ้ว,y
(m.) l'as,ลา (สัตว์ !r),y
(m.) l'aspecte,มุมมอง รูปลักษณ์,y
(m.) l'assecador,ไดร์เป่าผม,y
(m.) l'assumpte,ธุระ,y
(m.) l'atleta,นักกีฬา (a),y
(m.) l&#x27;atur,การตกงาน,y
(m.) l'autobús,รถประจำทาง,y
(m.) l'avi,ปู่ ตา (a),y
(m.) l'avió,เครื่องบิน,y
(m.) l'elefant,ช้าง,y
(m.) l&#x27;embolcall,การห่อของขวัญหรือสินค้า,y
(m.) l'embotit,อาหารตระกูลไส้กรอก,y
(m.) l'empresari,พนักงานบริษัท,y
(m.) l'encreuament,ทางแยก,y
(m.) l'endemà,วันถัดไป,y
(m.) l'enemic,ศัตรู,y
(m.) l'enginyer,วิศวกร (ช),y
(m.) l'equip,ทีม,y
(m.) l'esbufec,การถอนหายใจ,y
(m.) l'escac,หมากรุก,y
(m.) l'escalfor,ความร้อน (ร่างกาย),y
(m.) l'escriptor,นักเขียนผู้ชาย,y
(m.) l'escriptori,โต๊ะเขียนหนังสือ,y
(m.) l'escritori,โต๊ะเขียนหนังสือ (ES: el escritorio),y
(m.) l'esglaó,ขั้นบันได,y
(m.) l'esperit,วิญญาณ,y
(m.) l'espill,กระจก (e),y
(m.) l'esport,กีฬา,y
(m.) l'espàrrec,หน่อไม้ฝรั่ง,y
(m.) l'espòs,สามี (e),y
(m.) l'esquirol,กระรอก,y
(m.) l'est,ทิศตะวันออก,y
(m.) l'estadi,สเตเดียม,y
(m.) l'estel,ดวงดาว,y
(m.) l'estil,สไตล์,y
(m.) l'estiu,ฤดูร้อน,y
(m.) l'estómac,ท้อง,y
(m.) l'executiu,ผู้บริหาร (!g),y
(m.) l'exèrcit,กองทัพ,y
(m.) l'hivern,ฤดูหนาว,y
(m.) l'home,ผู้ชาย,y
(m.) l'hort,สวนผักผลไม้ในบ้าน,y
(m.) l'hoste,สจ๊วต,y
(m.) l'ioga,โยคะ,y
(m.) l'objecte,วัตถุ,y
(m.) l'obrer,คนงานผู้ชาย,y
(m.) l'ocell,นก,y
(m.) l'octubre,ตุลาคม,y
(m.) l'oest,ทิศตะวันตก,y
(m.) l'oli,น้ำมัน (ทำอาหาร),y
(m.) l'oncle,ลุง น้าอาผู้ชาย,y
(m.) l'or,ทอง,y
(m.) l'oratge,สภาพอากาศ,y
(m.) l'ordinador,คอมพิวเตอร์,y
(m.) l'os,กระดูก,y
(m.) l'ou,ไข่,y
(m.) l'ull,ดวงตา,y
(m.) l'àmbit,สายงาน,y
(m.) l'ànec,เป็ด,y
(m.) l'èxit,ความสำเร็จ,y
(m.) l'òrgan,อวัยวะ,y
Alemanya,ประเทศเยอรมนี,y
Amèrica del Nord,ทวีปอเมริกาเหนือ,y
Amèrica del Sud,ทวีปอเมริกาใต้,y
Anglaterra,ประเทศอังกฤษ,y
Angèria,ประเทศอัลจีเรีย,y
Bolívia,ประเทศโบลิเวีย,y
Canadà,ประเทศแคนาดา,y
Chile,ประเทศชิลี,y
Colòmbia,ประเทศโคลัมเบีย,y
Egipte,ประเทศอียิปต์,y
Equador,ประเทศเอกวาดอร์,y
Europa,ทวีปยุโรป,y
Filipines,ประเทศฟิลิปปินส์,y
França,ประเทศฝรั่งเศส,y
Itàlia,ประเทศอิตาลี,y
Japó,ประเทศญี่ปุ่น,y
Luxemburg,ประเทศลักเซมเบิร์ก,y
Líbia,ประเทศลิเบีย,y
Morroc,ประเทศโมรอกโก,y
Mèxic,ประเทศเม็กซิโก,y
República Checa,สาธารณรัฐเช็ก,y
Rússia,ประเทศรัสเซีย,y
Suècia,ประเทศสวีเดน,y
Tailàndia,ประเทศไทย,y
Tunisia,ประเทศตูนิเซีย,y
Uruguai,ประเทศอุรุกวัย,y
Veneçuela,ประเทศเวเนซุเอลา,y
Xina,ประเทศจีน,y
a finals de ~,ช่วงปลายเดือน,y
a la cantonada,ที่ตรงหัวมุม,y
a les palpes / a les palpentes,ด้วยการคลำ,y
a mitjan ~,ช่วงกลางเดือน,y
a principis de ~,ช่วงต้นเดือน ~,y
a prop,ใกล้,y
a vegades,บางครั้ง,y
abans,ก่อน,y
abstindre,งด,y
acampar,เข้าแคมป์,y
acaronar,ลูบ(หัว) เล่น(กับสัตว์),y
adequat,เหมาะสม,y
admetre,รับเข้าศึกษา เข้าศึกษา,y
adonar-se,นึกขึ้นได้ ระลึกได้ รู้ตัว,y
afegir,เพิ่ม,y
agafar,หยิบ จับ ขึ้นยานพาหนะ,y
agrair,กล่าวคำขอบคุณ ชื่นชม,y
agranar,กวาด,y
ahir,เมื่อวาน,y
aixecar,ทำให้ลุก ตื่นขึ้น (!~ç),y
això,สิ่งนี้ สิ่งนั้น,y
ajudar,(v.) ช่วยเหลือ,y
al costat,ด้านข้าง,y
al voltant,รอบ ๆ,y
alegre,เบิกบาน ยินดี (a),y
alemanya,เกี่ยวกับเยอรมัน (ญ),y
aleshores,ดังนั้น ตอนนั้น (es: entonces) (!ll),y
alt,สูง,y
alçar-se,ตื่น (ลุก) (a!~x),y
amagar,ซ่อน,y
amarg,ขม,y
amoïnar,ทำให้กังวล,y
ample,หลวม กว้าง,y
amunt i avall,ในทุก ๆ ทาง,y
anar,ไป,y
anar a comprar,ซื้อของ,y
anar-s'en,จาก ออกจาก ไป (es: irse),y
anglesa,เกี่ยวกับอังกฤษ (ญ),y
anomenar,เสนอชื่อ,y
antic,ที่โบราณ,y
apoderar,กำราบ (es: someter),y
aprendre,เรียน (es: aprender),y
aprimar-se,ผอมลง,y
aprofitar,ใช้ประโยชน์ (es: aprovechar),y
ara mateix,ณ ตอนนี้ บัดเดี๋ยวนี้,y
arquejar,ทำให้งอ,y
arreu,ทั่วทุกที่,y
arribar,ไปถึง (กริยา),y
arrissat,(ผม) หยักศก,y
arromangar-se,เลิกแขนเสื้อ,y
arrossegar,กระชาก,y
arruixar,ฉีด สาด โปรย,y
arrunsar,ย่อลง ทำให้หดลง,y
assecar,ทำให้แห้ง ตากให้แห้ง,y
assolellat,ที่โดนแดด,y
aturar,จับกุม หยุด,y
aviat,เร็ว (เช้า),y
avorrir,ทำให้เบื่อ,y
avorrit,เบื่อ,y
baix,เตี้ย ต่ำ,y
baixar,ลง,y
ballar,เต้นรำ,y
banyat,เปียก (b),y
barat,(ราคา) ถูก,y
batre,ตี,y
berenar,ทานอาหารบ่าย-เย็น (es: merendar),y
beure,ดื่ม (b),y
beure al gallet,ยกดื่มโดยไม่โดนปาก,y
blanc,สีขาว,y
blau,สีน้ำเงิน,y
boig,บ้า,y
bonic,สวย น่ารัก (es: bonito),y
brodar,เย็บปัก,y
brut,สกปรก,y
bufar,เป่าลม พ่นลมหายใจ หอบ,y
buit,ว่างเปล่า,y
cadascú,แต่ละหนึ่ง,y
calb,ที่หัวล้าน,y
caldre,จำเป็น ขาด ต้อง,y
callat,เงียบ ไม่พูด,y
cancel·lar,ยกเลิก,y
canviar,เปลี่ยน,y
cap (+ sustantiu),ไม่สักนิด แม้แต่น้อย (นามนับได้),y
cap a,มุ่งหน้า ไปยัง ไปทาง,y
capaç,ซึ่งสามารถ ที่ทำได้ ที่มีความสามารถ,y
castany,(ผม) สีน้ำตาล,y
castellana,เกี่ยวกับภาษาสเปน (ญ),y
catalana,เกี่ยวกับกาตาลัน (ญ),y
caure,หล่น ตก ร่วง,y
cavalcar,ขี่ (c),y
cec,ที่ตาบอด (ช),y
cega,ที่ตาบอด (ญ),y
cercar,ค้นหา,y
checa,เกี่ยวกับเช็ก (ญ),y
clar,แน่นอน แน่ชัด,y
clavar un colp,ต่อย,y
collir,เด็ด ถอน,y
colossal,มหึมา มหาศาล (c),y
comptar,เล่า,y
conèixer,รู้จัก,y
cremar,เผา,y
cridar,ตะโกน เรียก เรียกร้อง,y
cruspir-se,กินอย่างหิวโหย,y
créixer,เติบโต,y
cuinar,ทำอาหาร,y
curt,สั้น,y
córrer,วิ่ง,y
damunt,เหนือ ด้านบน (d),y
darrere,ด้านหลัง,y
davall,ด้านล่าง ด้านใต้ (d),y
davant,ข้างหน้า,y
de colp i volta,จู่ ๆ ก็ (๔),y
de franc,ฟรี (!d),y
de sopte,จู่ ๆ ก็ (๒),y
de tant en tant,นาน ๆ ที (es: de vez en cuando),y
debades,ฟรี (!f),y
deficiós,ยม ไม่อยากทำอะไร,y
delir,ทำลาย,y
delir-se per,ต้องการเป็นอย่างมาก อยากอย่างมาก,y
demanar,ร้องขอ,y
demà,พรุ่งนี้,y
descovrir,ค้นพบ หาเจอ (!t),y
desenvolupar,พัฒนา,y
desitjar,ปรารถนา หวัง,y
despertar-se,ตื่น (!ll),y
destre,ถนัดขวา,y
destruir,รื้อถอน ทำลาย (!t),y
deu ser que,จะเป็นเพราะว่า (es: será que),y
deure,ควร,y
devorar,ทุ่มเท ทำด้วยความตั้งใจ,y
dibuixar,วาดรูป,y
dinar,ทานอาหาร(กลางวัน) (es: comer),y
dins,ด้านใน,y
dir-se,เรียกว่า…,y
divertit,สนุก ตลก,y
doldre,เจ็บ ทำให้เจ็บ,y
dolent,แย่ เลว ไม่ดี,y
dolç,หวาน,y
donar un colp de mà,(ยื่นมือ)เข้าไปช่วยเหลือ,y
doncs,ก็ แล้ว (es: pues),y
dubtar,สงสัย,y
egoist,เห็นแก่ตัว,y
eixe,สิ่งนั้น (eso/ese),y
eixir,ออก จาก,y
eixugar,เช็ดให้แห้ง สะบัดให้แห้ง ทำให้แห้ง,y
el Nadal,คริสต์มาส,y
el ball,การเต้นรำ,y
el banc,ธนาคาร,y
el banquer,พนักงานธนาคารผู้ชาย,y
el bany,ห้องน้ำ (อาบน้ำ),y
el barret,หมวก,y
el barri,ละแวก (es: barrio),y
el batlle,นายกเทศมนตรี (!a),y
el bebé,เด็กทารก,y
el bes,(นาม)จูบ,y
el beset,(นาม)หอม (ES: besito),y
el bigoti,หนวด,y
el bol,ถ้วย,y
el bolet,เห็ดรา,y
el bolígraf,ปากกา,y
el bomber,นักดับเพลิงผู้ชาย,y
el borrador,ยางลบ,y
el bosc,ป่า,y
el bou,กระทิง,y
el bram,เสียงร้องของลา,y
el braç,แขน,y
el bressol,เปล,y
el bròquil,บร็อคโคลี,y
el buit,หลุม รู ช่องว่าง,y
el cabell,เส้นผม (c),y
el cadàver,ศพ,y
el cafè,กาแฟ,y
el caixer,แคชเชียร์ผู้ชาย,y
el calaix,ลิ้นชัก,y
el calcetí,ถุงเท้า (วาเลนเซีย),y
el camal,ขา (กางเกง),y
el cambrer,บริกรผู้ชาย,y
el camió,รถบรรทุก,y
el camp,ค่าย แคมป์,y
el camperol,ชาวนา (!g),y
el campionat,การแข่งชันชิงแชมป์,y
el campió,แชมป์,y
el camí,ทาง หนทาง ถนน (es: el camino),y
el canal,คลอง,y
el canell,ข้อมือ,y
el cantant,นักร้องผู้ชาย,y
el cantó,มุม หัวมุม (c),y
el canvi,ความเปลี่ยนแปลง,y
el cap,ศีรษะ / เจ้านาย,y
el cap de setmana,เสาร์อาทิตย์ สุดสัปดาห์,y
el cap de suro,คนง่าว หัวตัน,y
el capatàs,หัวหน้าคนงานผู้ชาย,y
el capellà,บาทหลวง,y
el capítol,บทเรียน (c),y
el caqui,ลูกพลับ,y
el cargol,หอยทาก,y
el carnisser,คนขายเนื้อสัตว์ผู้ชาย,y
el carrer,ถนน (c),y
el carreró,ตรอก ซอย,y
el carter,บุรุษไปรษณีย์,y
el cartó,กระดาษลัง,y
el castell,ปราสาท,y
el castellà,ภาษาสเปน,y
el castró,ตะกร้า,y
el català,ภาษากาตาลัน / คนกาตาลัน (ช),y
el cavall,ม้า,y
el cavaller,อัศวิน,y
el cel,ท้องฟ้า,y
el celiandre,ผักชี,y
el centre,ศูนย์กลาง,y
el chec,ภาษาเช็ก / คนเช็ก (ช),y
el chiquet,เด็กผู้ชาย (c),y
el científic,นักวิทยาศาสตร์ผู้ชาย,y
el cine,โรงภาพยนตร์,y
el cinturó,เข็มขัด,y
el cirurgià,ศัลยแพทย์ (ช),y
el ciutadà,พลเมือง,y
el clau,ตะปู,y
el cobertor,ผ้าปู ผ้าคลุม,y
el cobrellit,ผ้าคลุมเตียง,y
el codi,รหัส,y
el cognom,นามสกุล,y
el coixí,เบาะ,y
el coll,คอ,y
el colp,การต่อย (es: el golpe),y
el colze,ข้อศอก,y
el col·legi,โรงเรียน (c),y
el company,เพื่อนร่วมชั้น เพื่อนร่วมงาน (ชาย),y
el compte,เรื่องเล่า บิล,y
el concert,คอนเสิร์ต,y
el conductor,คนขับรถผู้ชาย (!x),y
el coneixement,ความรู้,y
el conill,กระต่าย,y
el contable,นักบัญชีผู้ชาย,y
el contingut,เนื้อหา,y
el contracte,สัญญา (ฉบับ),y
el cor,หัวใจ,y
el corrent,กระแส(น้ำ),y
el correu,ไปรษณีย์,y
el cos,ร่างกาย,y
el cosí,ลูกพี่ลูกน้องผู้ชาย,y
el cotxe,รถ,y
el cranc,ปู,y
el cristià,คริสตศาสนิกชน,y
el crit,การตะโกน เสียงตะโกน เสียงร้อง,y
el cuiner,คนทำอาหารผู้ชาย กุ๊กผู้ชาย,y
el cunyat,พี่เขย น้องเขย,y
el curs,วิชาเรียน กระบวนวิชา (ES: el curso),y
el càrrec,ภาระ,y
el dalt,ด้านบน ชั้นบน เหนือ (คำนาม),y
el dentiste,ทันตแพทย์ผู้ชาย,y
el dependent,ลูกจ้างผู้ชาย,y
el desembre,ธันวาคม,y
el desig,ความปรารถนา (es: el deseo),y
el despatx,สำนักงาน (d),y
el deute,หนี้,y
el diagnòstic,การวินิจฉัยโรค,y
el dijous,วันพฤหัสบดี,y
el dilluns,วันจันทร์,y
el dimarts,วันอังคาร,y
el dimecres,วันพุธ,y
el dissabte,วันเสาร์,y
el dit,นิ้วมือ,y
el dit de l'anell,นิ้วนาง,y
el dit del mig,นิ้วกลาง,y
el dit gros,นิ้วโป้ง,y
el dit petit,นิ้วก้อย,y
el dit senyalador,นิ้วชี้,y
el diumenge,วันอาทิตย์,y
el divendres,วันศุกร์,y
el dofí,ปลาโลมา,y
el dormitori,ห้องนอน,y
el drap,ผ้า,y
el déu,พระเจ้า,y
el fanal,โคมไฟ คบไฟ,y
el farmacèutic,เภสัชกร (ช),y
el febrer,กุมภาพันธ์,y
el fem,ขยะ,y
el femater,คนเก็บขยะผู้ชาย,y
el ferro,เหล็ก,y
el fetge,ตับ,y
el fill,ลูกชาย,y
el fillastre,ลูกติดผู้ชาย,y
el fillol,ลูกเลี้ยงผู้ชาย,y
el foc,ไฟ (!แสง),y
el foguer,เตา,y
el fontaner,ช่างประปา (!ll),y
el formatge,ชีส,y
el forn de pa,ร้านขนมปัง,y
el forner,คนทำขนมปังผู้ชาย,y
el fotògraf,ช่างถ่ายรูปผู้ชาย,y
el fracàs,ความผิดพลาด ความล้มเหลว,y
el francés,ภาษาฝรั่งเศส / คนฝรั่งเศส (ช),y
el fred,ความหนาวเย็น,y
el front,หน้าผาก,y
el fruit,ผลไม้,y
el full de paper,กระดาษจด ชีท,y
el fullet,แผ่นพับ ใบปลิว,y
el fum,ควัน,y
el fuster,ช่างไม้ผู้ชาย,y
el futboliste,นักฟุตบอลผู้ชาย,y
el fàstic,ความน่าขยะแขยง ความน่ารังเกียจ,y
el gall,ไก่ตัวผู้,y
el ganivet,มีด,y
el garatge,โรงรถ,y
el gel,น้ำแข็ง,y
el gelat,ไอศกรีม,y
el gendre,ลูกเขย,y
el gener,มกราคม,y
el genoll,หัวเข่า,y
el gerent,ผู้บริหารผู้ชาย (!e),y
el germanastre,พี่ชายน้องชายต่างพ่อแม่,y
el germà,พี่ชาย น้องชาย,y
el gimnàs,ยิม,y
el glaçó,ก้อนน้ำแข็ง,y
el gos,สุนัข,y
el got,แก้ว (พาชนะ),y
el granger,ชาวนา (!c),y
el grau,ระดับชั้น (!n),y
el grec,ภาษากรีก / คนกรีก (ช),y
el idioma,ภาษา (i),y
el indret,สถานที่,
el infermer,บุรุษพยาบาล,y
el ingrés,รายได้,y
el iogurt,โยเกิร์ต,y
el italià,ภาษาอิตาลี / คนอิตาลี (ช),y
el japonés,ภาษาญี่ปุ่น / คนญี่ปุ่น (ช),y
el joc,เกม,y
el judici,การพิพากษา,y
el juliol,กรกฎาคม,y
el juny,มิถุนายน,y
el jutge,ผู้พิพากษา,y
el kiwi,กีวี,y
el lavabo,ห้องน้ำ (ส้วม),y
el lector,เครื่องอ่าน ตัวอ่าน,y
el llac,ทะเลสาบ,y
el llamp,ฟ้าผ่า,y
el llanterner,ช่างประปาผู้ชาย (!f),y
el llapis,ดินสอ,y
el llavis,ริมฝีปาก,y
el llençol,ผ้าปูเตียง,y
el lleó,สิงโต,y
el llibre,หนังสือ,y
el llit,เตียง,y
el lloguer,การให้เช่า,y
el llop,หมาป่า,y
el llum,โคมไฟ (๑),y
el macarró,มักกะโรนี,y
el maig,พฤษภาคม,y
el malson,ฝันร้าย,y
el mapa,แผนที่ (m),y
el marge,ช่องไฟ,y
el mariner,กะลาสีเรือผู้ชาย,y
el marit,สามี (m),y
el martell,ค้อน,y
el març,มีนาคม,y
el matalàs,เบาะนั่ง เบาะรอง,y
el matí,ตอนเช้า,y
el mecànic,ช่างเครื่องยนต์ผู้ชาย,y
el meló d'Alger,แตงโม,y
el meló de tot l'any,เมลอน,y
el menjador,โรงอาหาร,y
el menjar,อาหาร,y
el mercat,ตลาด,y
el mestre,อาจารย์ (m ผู้ชาย),y
el metge,แพทย์ผู้ชาย,y
el mico,ลิง,y
el migdia,เที่ยงวัน,y
el miler,พัน จำนวนพัน (คำนาม),y
el militar,ทหาร (m),y
el miner,คนทำเหมืองผู้ชาย,y
el mirall,กระจก (m),y
el mitjó,ถุงเท้า (กาตาลุญญา),y
el moble,เฟอร์นิเจอร์,y
el model,นายแบบ นางแบบ,y
el monitor,ครูผู้ช่วย (ผู้ชาย),y
el monyo,มวยผม,y
el motiu,แรงผลักดัน,y
el motxo,ไม้ถูพื้น,y
el muntanyisme,การปีนเขา,y
el muscle,หัวไหล่ (!e),y
el museu,พิพิธภัณฑ์,y
el món,โลก,y
el músic,นักดนตรีผู้ชาย,y
el nadó,ทารก,y
el nas,จมูก,y
el nebot,หลานชายของลุงป้าน้าอา,y
el negoci,ธุรกิจ,y
el nen,เด็กผู้ชาย (n),y
el net,หลานชายของปู่ย่าตายาย,y
el nord,ทิศเหนือ,y
el noruec,ภาษานอร์เวย์ / คนนอร์เวย์ (ช),y
el notari,พนักงานทะเบียนผู้ชาย,y
el novembre,พฤศจิกายน,y
el núvol,เมฆ,y
el pa,ขนมปัง,y
el padrastro,พ่อเลี้ยง (จากแม่แต่งงานใหม่),y
el padrí,พ่อทูลหัว,y
el palau,วัง,y
el pallasso,ตัวตลกผู้ชาย,y
el palmito,พัดแบบวาเลนเซีย,y
el paper,กระดาษ,y
el paraigua,ร่ม,y
el paraigüer,ที่วางร่ม,y
el parament,การจัด การเตรียม,y
el parc,สวนสาธารณะ,y
el pare,พ่อ,y
el paràgraf,ย่อหน้า,y
el passadís,โถงทางเดิน,y
el pastís,ขนมเค้ก,y
el patí,ชานบ้าน,y
el peatge,ด่านเก็บค่าทางด่วน,y
el pegament,กาว,y
el pegat,พลาสเตอร์ปิดแผล (เล็ก),y
el peix,ปลา,y
el peluquer,ช่างตัดผมผู้ชาย,y
el percentatge,เปอร์เซ็นต์ ร้อยละ,y
el perill,อันตราย (คำนาม),y
el periodiste,นักข่าวผู้ชาย,y
el periòdic,หนังสือพิมพ์,y
el pescador,ชาวประมง,y
el petó,การหอมแก้ม,y
el peu,เท้า <sub><i>(ไม่ใช่ขา)</i></sub>,y
el pilot,นักบิน,y
el pingüí,นกเพนกวิน,y
el pintor,นักวาดภาพผู้ชาย,y
el pinzell,พู่กัน,y
el pis,แฟลต อพาร์ตเมนต์ (es: piso),y
el pit,อก หน้าอก,y
el pitet,ผ้ากันเปื้อนสำหรับรับประทานอาหาร,y
el pla,แผน แผนการ,y
el plaer,ความปิติยินดี ความเพลิดเพลิน (es: el placer),y
el plat,จาน,y
el plugim,ฝนอ่อย,y
el plànol,แผนที่ (!m),y
el plàtan,กล้วย,y
el pobret,คน สิ่งที่น่าสงสาร (ชาย),y
el polonés,ภาษาโปแลนด์ / คนโปแลนด์ (ช),y
el polític,นักการเมืองผู้ชาย,y
el pom,ลูกบิดประตู,y
el pont,สะพาน,y
el porc,เนื้อหมู,y
el port,ท่าเรือ,y
el portugués,ภาษาโปรตุเกส / คนโปรตุเกส (ช),y
el premi,รางวัล,y
el preu,ราคา,y
el producte,ผลิตภัณฑ์,y
el professor,อาจารย์ (p ผู้ชาย),y
el psicòleg,จิตแพทย์ (ช),y
el pulmó,ปอด,y
el pupitre,โต๊ะเขียนหนังสือ (โรงเรียน),y
el pèl,เส้นผม (p),y
el pèsol,ถั่วลันเตา,y
el quadern,สมุด (q),y
el quart,หนึ่งในสี่,y
el quilòmetre,กิโลเมตร,y
el rabosot,จิ้งจอก,y
el racó,หลืบ มุม,y
el raig,รังสี รัศมี,y
el raspall,แปรง (คำนาม),y
el ratolí,หนู เมาส์ (คอม),y
el rave,หัวไชเท้า,y
el raïm,องุ่น,y
el rebedor,โถงทางเข้า ห้องรับแขก,y
el regal,ของขวัญ,y
el rellotge,นาฬิกา,y
el remei,วิธีการรักษา หนทางแก้ไข ยา,y
el rentaplats,เครื่องล้างจาน,y
el renyó,ไต,y
el restaurant,ร้านอาหาร,y
el rierol,ลำห้วย,y
el risc,ความเสี่ยง,y
el ritme,จังหวะ,y
el riu,แม่น้ำ,y
el rostre,สีหน้า ใบหน้า,y
el rotulador,ปากกาเมจิก,y
el rovelló,เห็ดสน,y
el ruc,ลา (สัตว์ !a),y
el rumb,ทาง เส้นทาง,y
el rus,ภาษารัสเซีย / คนรัสเซีย (ช),y
el sabater,ช่างรองเท้า,y
el sabó,สบู่,y
el sacerdot,พระ,y
el sant,นักบุญ,y
el secretari,เลขาผู้ชาย,y
el segell,สแตมป์,y
el segle,ช่วงเวลา ศตวรรษ,y
el semàfor,สัญญาณจราจร,y
el senderisme,ไฮกิง,y
el senglar,หมูป่า,y
el senyal,สัญญาณ,y
el setembre,กันยายน,y
el so,เสียง,y
el sofà,โซฟา,y
el sogre,พ่อตา,y
el soldat,ทหาร (s),y
el somni,ความฝัน,y
el soroll,เสียงดัง อึกทึกจอแจ,y
el sostre,เพดาน,y
el soterrani,ห้องใต้ดิน,y
el suc,น้ำผลไม้,y
el sud,ทิศใต้,y
el suec,ภาษาสวีเดน / คนสวีเดน (ช),y
el suro,จุกคอร์ก,y
el suèter,สเวตเตอร์,y
el símptoma,อาการของโรค,y
el sòl,พื้น (!t),y
el tailandés,ภาษาไทย / คนไทย (ช),y
el tall,การตัด หั่นชิ้น,y
el tamboret,เก้าอี้สูงหน้าบาร์,y
el tema,หัวข้อ,y
el terreny,ที่ดิน,y
el torneig,ทัวร์นาเมนต์,y
el tramvia,รถราง,y
el treball,อาชีพ (t),y
el trellat,เหตุผล (ความเมกเซนส์),y
el tren,รถไฟ,y
el tro,ฟ้าร้อง,y
el trànsit,การจราจร,y
el turc,ภาษาตุรกี / คนตุรกี (ช),y
el turisme,การท่องเที่ยว,y
el vaixell,เรือ (!b),y
el valencià,ภาษาวาเลนเซีย / คนวาเลนเซีย (ช),y
el venedor,พนักงานขาย เซล,y
el vent,ลม,y
el ventall,พัด (คำนาม),y
el verí,พิษ,y
el veterinari,สัตวแพทย์ (ช),y
el veí,เพื่อนบ้าน (ผู้ชาย),y
el vi,ไวน์,y
